Case_ID,Stage,Molecule,Charge,Multiplicity,Num_Electrons,Basis,Basis_Source,Active_Space,Active_Electrons,Active_Orbitals,Mapper,N_Qubit,N_Qubit_Source,Method,Ansatz,Ansatz_Reps,Backend_Platform,Optimizer,Opt_Options,Iterations,Shots,Qiskit_Version,TN_Layers_Network,TN_Layers_Circuit,TN_Ansatz,Optimization_Mode,Measurement_Method,Qasm_Ansatz_File,Qasm_Ansatz_SHA256,Num_Opt_Params_Phi,Phi_Init,Num_Opt_Params_Theta,Num_ExpVals_Per_Iter,Error_Mitigation,Precision,QESEM_Execution_Mode,Refines_Case_ID,Converged_Params_File,Converged_Params_SHA256,Notes,Est_QPU_Time_S,Est_QPU_Time_Cumulative_S
9,1_screen,H2,0,1,2,sto-3g,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_4q_2r.qasm,ce482853c97e,36,zeros,10,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
16,1_screen,H2,0,1,2,sto-3g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_2q_2r.qasm,a7f385e0068f,18,zeros,4,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/sto-3g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
25,1_screen,H2,0,1,2,6-31g,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_4q_2r.qasm,ce482853c97e,36,zeros,10,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
32,1_screen,H2,0,1,2,6-31g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_2q_2r.qasm,a7f385e0068f,18,zeros,4,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/6-31g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
41,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_4q_2r.qasm,ce482853c97e,36,zeros,10,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
48,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_2q_2r.qasm,a7f385e0068f,18,zeros,4,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
57,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_4q_2r.qasm,ce482853c97e,36,zeros,10,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
64,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_2q_2r.qasm,a7f385e0068f,18,zeros,4,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
73,1_screen,H2,0,1,2,def2-svp,basis_set_exchange,valence_cas,2,2,JW,4,jw_exact,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_4q_2r.qasm,ce482853c97e,36,zeros,10,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit = 2 x active orbitals (exact). Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
80,1_screen,H2,0,1,2,def2-svp,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,TN-VQE,n_local_rzryrz_sca,2,ibm_brisbane,COBYLA,{},30,n/a (network mode),2.3.0,2,2,givens,network,n/a (network mode),data/qasm/n_local_rzryrz_sca_2q_2r.qasm,a7f385e0068f,18,zeros,4,,none,n/a (shot-based),n/a (not QESEM),,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/def2-svp. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). ZERO-QPU CONTROL: optimization_mode='network' freezes phi at zeros and optimises theta by classical tensor-network contraction, taking no quantum measurements. Costs nothing against any IBM plan budget; this is the floor every 'both' row is measured against. Num_Opt_Params_Phi is the count held FIXED, not optimised. givens is the JW image of a single-particle orbital rotation: it entangles, commutes with the number operator, and leaves U^dag H U a two-body fermionic Hamiltonian, so its Pauli-string count saturates with TN_Layers_Network rather than growing. No quantum measurements taken, so no measurement method applies.",,
